"year","month","capacity","complete","generated_el","time","parent_company","op_time","area","area3","plant_1","wind","Hydro","photovoltaic","Fossil.fuel","big_five","yearmonth","bf_covid","type_of_p","af_covid","new_case"
16,12,10,0,0,0,"else",0,"运城市永济市","yuncheng","yongjidianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,10,2760,2.557,2556.7,"else",0,"朔州市朔城区","shuozhou","yonghaodianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,3,320,0.455,1517.476,"协鑫集团",2015,"晋城市阳城县","jincheng","xinchengguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,60,19190,20.619,3436.45,"同煤集团",0,"临汾市襄汾县","linfen","fenzedianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,30,0,2.276,758.7,"格盟集团",2017,"阳泉市城区","yangquan","hepodianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,70,9330,29.198,4171.2,"同煤集团",0,"运城市河津市","yuncheng","hejindianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,3,350,0.502,1672.467,"大唐集团公司",2017,"大同市天镇县","datong","huancuishanguangfu",0,0,1,0,1,"Dec 2016","1","photovoltaic","0",0
16,12,4.8,1110,0.953,1985.704,"大唐集团公司",2013,"大同市浑源县","datong","zeqinglingfengdianchang",1,0,0,0,1,"Dec 2016","1","wind","0",0
16,12,5,500,0.647,1294.584,"国家电投集团",2018,"朔州市神头区","shuozhou","hongtaoguangfu",0,0,1,0,1,"Dec 2016","1","photovoltaic","0",0
16,12,4.95,660,0.734,1482.137,"else",0,"长治市平顺县","changzhi","hongtiguanfengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,1,130,0.181,1807.191,"山西国际能源集团",2016,"大同市新荣区","datong","changjialingguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,4.95,700,0.963,1945.873,"else",0,"朔州市平鲁区","shuozhou","baiyushanfengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,14.55,2060,2.282,1568.603,"else",0,"忻州市神池县","xinzhou","bayeliangfengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,120,8070,16.321,1360.117,"国家电网公司",0,"忻州市五台县","xinzhou","xilongchixunengshuidianchang",0,1,0,0,0,"Dec 2016","1","hydro","0",0
16,12,9.9,1000,0.133,134.444,"华润集团",2017,"临汾市浮山县","linfen","yingfenglingfengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,5,420,0.62,1240.138,"中节能太阳能科技有限公司",2016,"晋中市榆次区","jinzhong","yuanxinguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,60,15880,15.691,2615.133,"京能集团",0,"长治市郊","changzhi","zhangshanyiqi",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,9.5,970,0.77,811.05,"京能集团",2016,"大同市南郊区","datong","jiaoxinguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,2,230,0.35,1748.25,"华能集团公司",2016,"大同市天镇县","datong","jiaoyangguangfu",0,0,1,0,1,"Dec 2016","1","photovoltaic","0",0
16,12,84,23470,24.18,2878.571,"同煤集团",0,"长治市郊区","changzhi","zhangzedianchang",0,0,0,1,0,"Dec 2016","1","fossil-fuel","0",0
16,12,5,540,0.388,775.056,"晶澳太阳能",2016,"大同市南郊区","datong","aonengguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
16,12,9.9,880,1.317,1329.85,"else",0,"忻州市偏关县","xinzhou","heijiazhuangfengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,66,34010,31.255,4735.545,"国电集团公司",0,"晋中市榆次区","jinzhong","rongchengdianchang",0,0,0,1,1,"Dec 2016","1","fossil-fuel","0",0
16,12,9.75,1260,1.578,1618.154,"else",0,"朔州市右玉县","shuozhou","tieshanbaofengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,9.75,1710,1.25,1282.178,"大唐集团公司",0,"忻州市岢岚县","xinzhou","yanjiacunfengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,9.9,1420,2.123,2144.644,"else",0,"朔州市右玉县","shuozhou","niuxinbaofengdianchang",1,0,0,0,0,"Dec 2016","1","wind","0",0
16,12,3,240,0.202,672.857,"同煤集团",0,"长治市平顺县","changzhi","longxiguangfu",0,0,1,0,0,"Dec 2016","1","photovoltaic","0",0
